"Medium","Dimensions","Classification","Artist","URL","ArtistNationality","Title","CreditLine","DateAcquired","Department","HasExtraText","MoMANumber","Date","ArtistBio","CuratorApproved","ObjectID","ExtraText","AlchemyConcepts"
"Lithograph","composition: 21 7/16 x 16 1/8"" (54.5 x 41 cm); sheet: 28 1/4 x 22 15/16"" (71.8 x 58.3 cm)","Print","David Alfaro Siqueiros","http://www.moma.org/collection/works/61471","MEXICAN","Moisés Sáenz","Inter-American Fund","5/12/1943","Prints & Illustrated Books","Y","78.1943","1931","(Mexican, 1896–1974)","Y","61471","The most politically radical of the trio of Mexican muralists known as ""the three giants,"" David Alfaro Siqueiros sought to create an art that communicated his Communist ideology to a large proletarian audience. Carl Zigrosser of the Weyhe Gallery in New York encouraged Siqueiros to make lithographs while he was exhibiting his work in the city during the 1930s. All in all, the artist made some twenty-five lithographs and a range of woodcuts during his career. Like those of Diego Rivera and José Clemente Orozco, Siqueiros's lithographs were intended for North American collectors, while his woodcuts had a much broader reach in Mexico, appearing as illustrations in political magazines. After working for several years in Europe, Siqueiros returned to Mexico City in 1922 to join a group of young artists developing a national mural program. A high-profile Communist party leader and union organizer, Siqueiros edited El Machete, the artists' union news sheet. It was there that he published his manifesto proclaiming easel painting irrelevant and elitist, and where his popular woodcut illustrations in the tradition of Mexico's José Guadalupe Posada appeared. This portrait lithograph was completed after Siqueiros's six-month incarceration for Communist activities, while he was living in Taxco under ""town arrest."" Like other lithographs published by the Weyhe Gallery, this one was made by transporting drawings, printing proofs, and possibly even lithographic stones back and forth between the United States and Mexico. The subject, Moisés Sáenz, was an innovative educator who had engineered a system of schools in rural Mexico and had become Siqueiros's patron and supporter during a very difficult period in the artist's life. Related to a similar painting, this likeness exaggerates Sáenz's features, isolating and monumentalizing his head to present the man as a timeless presence.","Mexico (0.971323), Diego Rivera (0.924153), Jos Clemente Orozco (0.884134), David Alfaro Siqueiros (0.750607), Leon Trotsky (0.673526), Printmaking (0.621386), Mexico City (0.599977), Marxism (0.593951)"
"Gelatin silver print","4 1/2 x 3 5/8"" (11.5 x 9.2 cm)","Photograph","Alfred Stieglitz","http://www.moma.org/collection/works/83330","AMERICAN","Apples and Gable, Lake George","Anonymous gift","5/12/1943","Photography","Y","92.1943.1","1922","(American, 1864–1946)","Y","83330","This picture may be read as a symbol—of Eve's temptation in the Garden of Eden, perhaps, or of harmony between nature and mankind. Yet it presents itself as an immediate, sensual experience. You can almost feel yourself reaching up to the apples covered with dew and ripe for the picking.Stieglitz was fifty-eight years old when he made this photograph at his family's estate on Lake George, New York, where he spent his summers from childhood to old age. At the turn of the century, it had seemed to him that photography, to become an art, must emulate the other arts and so restrain or  disguise its earthbound realism. Later, in the 1920s, he helped to prove in his own photographs that engaging the stubborn specificity of his medium was itself a fine art.","Garden of Eden (0.945437), Photograph (0.896917), Music (0.859553), Photography (0.800941), Aesthetics (0.777051), Art (0.761396), Arts (0.717375), Gerontology (0.701087)"
"Lithograph","Sheet (irreg.): 29 3/16 x 40 9/16"" (74.1 x 103 cm)
","A&D Graphic Design","Heinz Fuchs","http://www.moma.org/collection/works/7522","GERMAN","Workers. Famine. Death Is Approaching. Strike Destroys. Work Nourishes. Do Your Duty. Work (Arbeiter. Hunger. Tod naht. Streik zerstört, Arbeit ernährt. Tut eure Pflicht. Arbeitet)","Gift of Peter Müller-Munk","5/12/1943","Architecture & Design","Y","557.1943","1919","(German, 1886–1961)","Y","7522","This image of a monstrously huge Death figure terrorizing the city streets was meant as a caution against the damage that strikes and work stoppages could do to the economy and to people's livelihood in the fragile and volatile new republic.","New York City (0.88096)"
"Oil on board","30 x 40"" (76.2 x 101.6 cm)","Painting","Marsden Hartley","http://www.moma.org/collection/works/78658","AMERICAN","Evening Storm, Schoodic, Maine","Acquired through the Lillie P. Bliss Bequest","2/18/1943","Painting & Sculpture","Y","66.1943","1942","(American, 1877–1943)","Y","78658","Painting the foaming, foreboding waters of the Atlantic Ocean, Hartley defers to the power of the sea. On the stormy shore of Schoodic Point, in Maine's Acadia National Park, he found a scene that showed no signs of human civilization—which must have suited him, for he once described Maine as a ""brutal country"" that is ""strong, simple, stately."" One of a series of seascapes that Hartley made in the 1930s and '40s, the painting captures his fascination with the American landscape and his home state. In works such as this, he strove to establish himself as ""the painter from Maine"".","Atlantic Ocean (0.949925), United States (0.765528), Maine (0.650065), Mediterranean Sea (0.624087), Ocean (0.602161), Acadia National Park (0.558917), Schoodic Peninsula (0.540849), Frenchman Bay (0.536734)"
"Pyrex glass, wood, and leather","9 1/2 x 6 1/8"" (24.2 x 15.5 cm)","A&D Design","Peter Schlumbohm","http://www.moma.org/collection/works/1847","AMERICAN","Chemex Coffee Maker","Gift of Lewis & Conger","2/18/1943","Architecture & Design","Y","51.1943","1941","(American, born Germany. 1896–1962)","Y","1847","This unified series of kitchenwares by chemist and inventor Schlumbohm epitomizes the kitchen–as–laboratory concept—a hallmark of the interwar New Kitchen—as it continued beyond World War II. After immigrating to the United States from Germany in 1935, Schlumbohm created the famous Chemex coffeemaker, inspired in spirit by the Bauhaus school of design and in form by laboratory equipment such as the Erlenmeyer flask. A feature of James Bond's breakfast in From Russia with Love, this was the most successful design of the more than 300 he patented.","World War II (0.954332), United States (0.686879), Germany (0.613226), Bauhaus (0.585627), Nazi Germany (0.56298), Graphic design (0.561695), Industrial design (0.555623), Walter Gropius (0.551348)"
"Oil on canvas","15 3/4 x 11"" (40 x 27.9 cm)","Painting","Frida Kahlo","http://www.moma.org/collection/works/78333","MEXICAN","Self-Portrait with Cropped Hair","Gift of Edgar Kaufmann, Jr.","2/18/1943","Painting & Sculpture","Y","3.1943","1940","(Mexican, 1907–1954)","Y","78333","Kahlo painted Self-Portrait with Cropped Hair shortly after she divorced her unfaithful husband, the artist Diego Rivera. As a painter of many self- portraits, she had often shown herself wearing a Mexican woman's traditional dresses and flowing hair; now, in renunciation of Rivera, she painted herself short haired and in a man's shirt, shoes, and oversized suit (presumably her former husband's). Kahlo knew adventurous European and American art, and her own work was embraced by the Surrealists, whose leader, André Breton, described it as ""a ribbon around a bomb."" But her stylistic inspirations were chiefly Mexican, especially nineteenth-century religious painting, and she would say, ""I do not know if my paintings are Surrealist or not, but I do know that they are the most frank expression of myself."" The queasily animate locks of fresh-cut hair in this painting must also be linked to her feelings of estrangement from Rivera (whom she remarried the following year), and they also have the dreamlike quality of Surrealism. For, into the work she has written the lyric of a Mexican song: ""Look, if I loved you it was because of your hair. Now that you are without hair, I don't love you anymore.""","Frida Kahlo (0.958389), Surrealism (0.703118), Cubism (0.694683), Diego Rivera (0.667826), Andr Breton (0.661354), Modernism (0.547005), Mexico (0.524825), Portrait painting (0.507832)"
"Tempera on composition board","22 1/4 x 18"" (56.5 x 45.7 cm)","Painting","Juan O'Gorman","http://www.moma.org/collection/works/80327","MEXICAN","The Sand Mines of Tetelpa","Gift of Edgar Kaufmann, Jr.","12/29/1942","Painting & Sculpture","Y","751.1942","1942","(Mexican, 1905–1982)","Y","80327","As a student at the National Preparatory School in the early 1920s, O'Gorman often stopped to watch José Clemente Orozco and Diego Rivera creating murals there. Although trained as an architect (he famously designed a modernist home—two buildings connected by a bridge—for Rivera and Frida Kahlo), O'Gorman left his thriving practice in 1935 to commit himself to painting. This is one of the many paintings of the Mexican countryside he made using tempera paint—a medium, popular in medieval and early Renaissance art, capable of producing the rich details O'Gorman desired. He presents a bird's-eye view of a landscape that held personal importance to him: his Irish father, an amateur painter, had immigrated to Mexico to work in the mining industry. O'Gorman translated his love of Mexico's arid topography into not only his paintings but also large stone mosaics he made from rocks collected throughout the country.","Mexico (0.947913), Diego Rivera (0.938725), History of painting (0.902694), Mexico City (0.77875), Frida Kahlo (0.741801), Painting (0.697413), Leon Trotsky (0.638889), Western painting (0.638064)"
"Watercolor and ink on paper","13 3/4 x 16 5/8"" (35.1 x 42.4 cm)","Drawing","Pavel Tchelitchew","http://www.moma.org/collection/works/37513","AMERICAN","Tree into Hand and Foot with Children (Study for Hide-and-Seek)","Mrs. Simon Guggenheim Fund","12/29/1942","Drawings","Y","599.1942","1940","(American, born Russia. 1898–1957)","Y","37513","In this study for the artist's monumental 1940 painting Hide-and-Seek, the branches and roots of a tree metamorphose into hands and feet. Tchelitchew described the ink study as transforming ""my hand into an imaginary tree."" When he subsequently decided that the double hand was ""too much,"" he reimagined the tree with both a hand and a foot, a composition that can be seen in the watercolor version. In his desire to ""represent man in his relationship to the whole of the created world,"" Tchelitchew conflated gnarled twists of bark and spindly branches with knobby knuckles and wandering veins.","Painting (0.908924), Tree (0.864499), Hand (0.836655), Trunk (0.811352), The Double (0.809038), Finger (0.782347)"
"Gelatin silver print","9 3/16 x 6 5/8"" (23.4 x 16.9 cm)","Photograph","Manuel Álvarez Bravo","http://www.moma.org/collection/works/52772","MEXICAN","The Daughter of the Dancers","Purchase","12/29/1942","Photography","Y","408.1942","1933","(Mexican, 1902–2002)","Y","52772","In this picture, as in many of Álvarez Bravo's photographs, our experience begins with the theme of looking: we must wonder what it is that the girl sees, or what she seeks. It has been suggested that her awkwardly placed feet, with one foot atop the other as she stands on her toes, evokes the figures in Mexican reliefs and carvings made before the Spanish conquest, and that the girl, dressed in traditional Mexican costume, may be interpreted as representing a Mexico searching for its past through the window in the well-worn wall. Clearly, the picture was staged, and we know that the photographer has intentionally provoked our curiosity. Photography has an inherent power to create mystery because it only describes aspects of things and never tells the whole story. In the hands of a skillful photographer, this capacity to intrigue can become the foundation of an aesthetic, a way of working. Throughout his seventy-five-year career, the Mexican photographer Álvarez Bravo consistently made deeply human photographs rife with enigma.","Photography (0.977384), English-language films (0.780223), Foot (0.683633), Mexico (0.615104), Spanish colonization of the Americas (0.586797), Spanish Empire (0.575464), Spanish language (0.561521), 2001 in film (0.555265)"
"Oil on canvas","63 7/8 x 45"" (162.3 x 114.3 cm)","Painting","Oskar Schlemmer","http://www.moma.org/collection/works/80049","GERMAN","Bauhaus Stairway","Gift of Philip Johnson","12/29/1942","Painting & Sculpture","Y","597.1942","1932","(German, 1888–1943)","Y","80049","Bauhaus Stairway depicts the Bauhaus, a school founded in 1919 by architect Walter Gropius, famous for its visionary integration of technology, art, and design. Although Schlemmer made this painting three years after he left his teaching position at the Bauhaus, the works gridded structure, streamlined modular bodies and predominant palette of primary colors capture the schools vibrant design spirit. The carefully choreographed arrangement of the figures and the man en pointe at the top of the stairs reflects Schlemmers role as the creator of many important dance and theatrical productions at the Bauhaus. Schlemmer painted this work as Hitler assumed power, shortly before the Nazis closed the Bauhaus for good. He was among many artists persecuted by the Nazis, whose work they deemed ""degenerate"" and often destroyed.","Germany (0.966758), Modernism (0.834052), Bauhaus (0.782), Walter Gropius (0.75992), Dessau (0.7452), Wassily Kandinsky (0.740468), Expressionist architecture (0.702272), Ludwig Mies van der Rohe (0.699033)"
